"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Create file with empty filename","LMS service","Tue Dec 16 13:56:04 UTC 2025","passed","Tue Dec 16 13:56:04 UTC 2025","Validate entity","Files","",""
"","22","Get exercises","LMS service","Tue Dec 16 13:56:02 UTC 2025","passed","Tue Dec 16 13:56:02 UTC 2025","Get entities","Exercises","",""
"","29","Create course","LMS service","Tue Dec 16 13:55:58 UTC 2025","passed","Tue Dec 16 13:55:58 UTC 2025","Create entity","Courses","",""
"","304","Update course","LMS service","Tue Dec 16 13:55:58 UTC 2025","passed","Tue Dec 16 13:55:58 UTC 2025","Update entity","Courses","",""
"","24","Create exercise","LMS service","Tue Dec 16 13:55:59 UTC 2025","passed","Tue Dec 16 13:55:59 UTC 2025","Create entity","Exercises","",""
"","551","Login with correct email and password","LMS service","Tue Dec 16 13:55:56 UTC 2025","passed","Tue Dec 16 13:55:57 UTC 2025","Login","Authentication","",""
"","525","Create user","LMS service","Tue Dec 16 13:56:04 UTC 2025","passed","Tue Dec 16 13:56:05 UTC 2025","Create entity","Users","",""
"","21","Delete exercise","LMS service","Tue Dec 16 13:56:00 UTC 2025","passed","Tue Dec 16 13:56:00 UTC 2025","Delete entity","Exercises","",""
"","29","Get courses","LMS service","Tue Dec 16 13:55:57 UTC 2025","passed","Tue Dec 16 13:55:57 UTC 2025","Get entities","Courses","",""
"","259","Get file with incorrect file id","LMS service","Tue Dec 16 13:56:05 UTC 2025","passed","Tue Dec 16 13:56:05 UTC 2025","Validate entity","Files","",""
"","46","Get exercise","LMS service","Tue Dec 16 13:56:00 UTC 2025","passed","Tue Dec 16 13:56:00 UTC 2025","Get entity","Exercises","",""
"","525","Create user","LMS service","Tue Dec 16 13:56:04 UTC 2025","passed","Tue Dec 16 13:56:04 UTC 2025","Create entity","Users","",""
"","20","Create file","LMS service","Tue Dec 16 13:56:02 UTC 2025","passed","Tue Dec 16 13:56:02 UTC 2025","Create entity","Files","",""
"","19","Delete file","LMS service","Tue Dec 16 13:56:03 UTC 2025","passed","Tue Dec 16 13:56:03 UTC 2025","Delete entity","Files","",""
"","557","Create user","LMS service","Tue Dec 16 13:56:05 UTC 2025","passed","Tue Dec 16 13:56:06 UTC 2025","Create entity","Users","",""
"","21","Update exercise","LMS service","Tue Dec 16 13:55:59 UTC 2025","passed","Tue Dec 16 13:55:59 UTC 2025","Update entity","Exercises","",""
"","13","Get file","LMS service","Tue Dec 16 13:56:03 UTC 2025","passed","Tue Dec 16 13:56:03 UTC 2025","Get entity","Files","",""
"","15","Create file with empty directory","LMS service","Tue Dec 16 13:56:04 UTC 2025","passed","Tue Dec 16 13:56:04 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Tue Dec 16 13:56:06 UTC 2025","passed","Tue Dec 16 13:56:06 UTC 2025","Get entity","Users","",""
